                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.58153,                0.47858,                 1.0997,                0.94863,                0.97561,                0.96974,                 0.9123,                0.38067,                0.34889,                0.88128,             0.00055743,             0.00055743,             0.00055743
                     53,                0.57408,                0.45929,                 1.0858,                0.95003,                      1,                0.98424,                0.91374,                0.37569,                0.37395,                0.90069,             0.00052914,             0.00052914,             0.00052914
                     54,                0.56493,                0.43595,                 1.0831,                0.93711,                      1,                0.98889,                0.94043,                0.35713,                0.33151,                0.87849,             0.00050086,             0.00050086,             0.00050086
                     55,                0.57481,                0.44947,                 1.0895,                0.95312,                0.99192,                0.98347,                0.91962,                0.34604,                0.36208,                0.87544,             0.00047257,             0.00047257,             0.00047257
                     56,                0.56268,                0.43944,                 1.0729,                0.95347,                      1,                0.99167,                0.93508,                0.33444,                0.35394,                0.86185,             0.00044429,             0.00044429,             0.00044429
                     57,                0.56038,                0.41754,                 1.0787,                0.96365,                      1,                0.99167,                0.94332,                0.35958,                0.36912,                0.87456,               0.000416,               0.000416,               0.000416
                     58,                0.56076,                0.42747,                 1.0836,                0.97014,                      1,                0.98762,                 0.9305,                0.33208,                 0.3117,                0.87032,             0.00038771,             0.00038771,             0.00038771
                     59,                 0.5341,                0.39434,                 1.0764,                0.97389,                      1,                0.98762,                0.93984,                0.33777,                0.31014,                0.85841,             0.00035943,             0.00035943,             0.00035943
                     60,                0.55829,                0.41877,                 1.0784,                0.96962,                      1,                 0.9869,                 0.9389,                0.34062,                0.29928,                 0.8753,             0.00033114,             0.00033114,             0.00033114
                     61,                 0.4307,                0.38252,                0.97312,                 0.9507,                      1,                0.97539,                0.92553,                0.30978,                0.30119,                0.85392,             0.00030286,             0.00030286,             0.00030286
                     62,                0.45446,                 0.3914,                0.99193,                0.97134,                      1,                 0.9869,                0.93535,                0.33605,                0.31435,                0.86516,             0.00027457,             0.00027457,             0.00027457
                     63,                0.44195,                0.37682,                0.98365,                0.95124,                      1,                0.99114,                0.94792,                 0.3457,                0.29419,                0.86071,             0.00024629,             0.00024629,             0.00024629
                     64,                0.42222,                0.37548,                0.95291,                0.95197,                      1,                0.99285,                0.95136,                0.32359,                0.28338,                0.85566,               0.000218,               0.000218,               0.000218
                     65,                0.43344,                0.37637,                0.96654,                0.95297,                      1,                0.99167,                0.93514,                0.31979,                0.26933,                0.84807,             0.00018971,             0.00018971,             0.00018971
                     66,                0.40165,                0.31171,                0.95234,                 0.9399,                      1,                0.99064,                0.93838,                0.31823,                0.25343,                0.85079,             0.00016143,             0.00016143,             0.00016143
                     67,                  0.421,                0.34681,                0.97459,                0.96961,                      1,                0.98929,                 0.9287,                0.30915,                0.26929,                0.85113,             0.00013314,             0.00013314,             0.00013314
                     68,                0.38549,                0.32009,                0.95413,                0.95245,                      1,                0.99095,                0.93885,                0.31213,                0.24226,                0.85001,             0.00010486,             0.00010486,             0.00010486
                     69,                0.39408,                0.33422,                0.96669,                0.95177,                      1,                0.98889,                0.93612,                0.31792,                 0.2521,                0.84717,             7.6571e-05,             7.6571e-05,             7.6571e-05
                     70,                0.40374,                0.32137,                0.96529,                0.95181,                      1,                0.98764,                0.94814,                0.31108,                0.26741,                0.84785,             4.8286e-05,             4.8286e-05,             4.8286e-05
